data,poble,regio,text
2026-06-01,Cardedeu,cat,"A Cardedeu, el sol està tan compromès amb el seu treball que ja ha demanat fer hores extres indefinides."
2026-06-02,Sort,cat,"A Sort, el club de senderisme ha eliminat la roba impermeable de la llista d'equipament recomanat. Per alleugerir la motxilla."
2026-06-03,Sant Antoni de Vilamajor,cat,A Sant Antoni de Vilamajor viu un dia tan radiant que les plantes s'han despertat aplaudint aquest matí
2026-06-04,Monistrol de Calders,cat,"A Monistrol de Calders, el sol ja saluda als veïns pel seu nom. Porta aquí massa dies seguits."
2026-06-05,Matadepera,cat,"A Matadepera, avui farà tant de sol que les plaques solars ja no generaran electricitat, sinó patrimoni."
2026-06-06,Polinyà de Xúquer,val,"A Polinyà de Xúquer, el sol ha guanyat per majoria absoluta les eleccions meteorològiques. Hui i sempre."
2026-06-07,Sant Joan de Labritja,bal,"A Sant Joan de Labritja, sa meteorologia funciona amb mode fàcil: sol, calma i repetir."
2026-06-08,Granollers,cat," ""A Granollers els mapes de nuvolositat apareixen amb un forat just a sobre del poble.""."
2026-06-09,Bolbaite,val,"A Bolbaite, hui fa un dia tan bo que sortir de casa s'ha convertit en una obligació moral."
2026-06-10,Torre Endoménech,val,"A Torre Endoménech, el sol ha pres possessió del cel i ha declarat il·legals els núvols."
2026-06-11,Savallà del Comtat,cat,"A Savallà del Comtat, la meteorologia funciona amb mode fàcil: sol, calma i repetir."
2026-06-12,Cox,val,"A Cox, el sol ha decidit quedar-se fins a nou avís i ningú no s'hi ha oposat."
2026-06-13,Aubèrt,aran,"En Aubèrt, eth temps ei tan estable que fins es leis dera relativitat s'an relaxat."
2026-06-14,Bellreguard,val,"A Bellreguard, la previsió és tan clara que fins els endevins han tancat la botiga per falta de misteri."
2026-06-15,Azuébar,val,"A Azuébar, el sol hui ha eixit amb tanta confiança que fins la lluna li ha demanat consells."
2026-06-16,Fogars de Montclús,cat,Fogars de Montclús viu un dia tan perfecte que genera expectatives poc realistes per a la resta del món.
2026-06-17,Torre Endoménech,val,"A Torre Endoménech, el sol ha signat un contracte vitalici amb el cel. Sense clàusules de sortida."
2026-06-18,Tavèrnoles,cat,Tavèrnoles presenta unes condicions tan ideals que fins els meteoròlegs somriuen sospitosament.
2026-06-19,Aubèrt,aran,"Sempresol.cat confirme des de Aubèrt: sòu, e si tot va plan, mès sòu."
2026-06-20,Olesa de Montserrat,cat,Olesa de Montserrat gaudeix d’un clima tan amable que sembla que demani perdó per ser tan perfecte.
2026-06-21,Vallgorguina,cat,"A Vallgorguina, el sol ha decidit quedar-se fins a nou avís i ningú s’hi ha oposat."
2026-06-22,Begur,cat,Begur viu un dia tan clar que fins les idees confuses s’ordenen soles.
2026-06-23,Cox,val,"A Cox, el sol és tan puntual que podries sincronitzar el rellotge en ell."
2026-06-24,Vilanova de Prades,cat,"A Vilanova de Prades, el sol brilla amb tanta constància que ja forma part de l’horari laboral."
2026-06-25,Cardona,cat,"Cardona viu un clima tan perfecte que ha provocat un error 404 a la realitat, i des de llavors ningú ha aconseguit tornar a carregar un dia dolent."
2026-06-26,Azuébar,val,"A Azuébar, el sol fa hores extra. Sense paga extra. Per amor a la faena."
2026-06-27,Maria de la Salut,bal,"A Maria de la Salut, l'Arxiduc Lluís Salvador, si tornés avui, afegiria un capítol sencer als seus tractats. Titulat: Del sol perpetu i ses implicacions filosòfiques."
2026-06-28,Agramunt,cat,"A Agramunt, el temps ha arribat al nivell final i no hi ha més pantalles desbloquejables, haureu de jugar a un altre joc."
2026-06-29,Bigues i Riells,cat,Bigues i Riells té un clima tan estable que fins les lleis de la termodinàmica han optat per relaxar-se i observar en silenci aquest fenomen inexplicable.
2026-06-30,Xàtiva,val,"A Xàtiva, el Micalet ha demanat crema solar. Li han dit que és de pedra. Ha respost que tot té un límit."
2026-07-01,Pals,cat,"Pals viu un dia tan radiant que ha creat una nova unitat de mesura lumínica, utilitzada per comparar qualsevol altra forma de brillantor coneguda."
2026-07-02,Nulles,cat,"A Nulles, la meteorologia ha estat arxivada com a ciència obsoleta, perquè la previsió sempre retorna el mateix resultat: estabilitat absoluta i sol impertorbable."
2026-07-03,Callosa de Segura,val,"A Callosa de Segura, els bunyols de Quaresma s'han torrat sols al balcó. El forner ha presentat una reclamació al sol. Sense resposta."
2026-07-04,Llubí,bal,"A Llubí, ses salines han produït un 30% més de sal que l'any passat. El sol cobra en espècie."
2026-07-05,Torrent,cat,"Torrent viu unes condicions tan absurdes que el concepte de variació ha estat retirat per manca d’ús, i tot funciona sota una uniformitat sorprenent."
2026-07-06,Llardecans,cat,"Llardecans té un clima tan exagerat que ha començat a plegar-se sobre si mateix, creant una mena de bucle meteorològic sense inici ni final."
